PERIOD,TARGET,EDVDM,DQXAB,KHFWG,KQDOC,IRKOX,PEPYL,QVEWW,DGHGR,ICGRJ,HSIOM,EKGJX,MWBDJ,ENMEX,WBCNW,XYFRF,BIWBE,MERVJ,FGQVN,KSCSZ,CUNBJ,LEEIA,ODPOC,BRYWC,NJIIZ,TVTQH,PHCRP,XUKCD,LIMUE,VEQKA,CMPMP,USPLV,OMLJD,SMSTS,EFBBA,ZQHHT,OKQPF,XRSXD,NUCJQ,HBOKK,ZARXQ,TUCND,NYQQU,VHZVZ,FPSXN,ODZWJ,GPPZF,MRSRZ,BYSDB,OUONZ
13,1.681860127,6.841046827,-0.976320734,-3.230976116,2.763920031,-0.735084451,1.03398541,2.947747359,8.075793393,-0.219244826,-0.299171705,-2.565012102,3.063634161,-1.235454446,7.051815543,-0.319680821,-3.674118579,-3.702800483,2.264067628,-2.859463045,1.075399396,-2.239018895,4.902566219,-3.714811734,1.047069136,-1.700996271,-2.123320886,3.561521673,-2.597444007,0.675789561,2.628856182,-3.613279217,-3.395130365,-0.182538678,-1.279092543,5.015192923,3.089335624,-9.568116422,4.284451762,-0.007839382,5.296722194,-3.510933495,5.606042943,-6.063754509,-0.983750902,-1.016189659,6.353569349,2.735881645,0.913371012,-1.081945784
14,-0.7709073,5.250435044,-2.810699073,-1.895251573,2.099111016,0.083998143,-1.062800211,2.851173178,6.044290573,-1.535921107,-2.115220652,-1.56268182,0.893420621,0.077824595,5.566538468,-1.110807916,-3.932031574,-2.914003122,2.44453624,-4.750784634,-0.463955602,-0.018923857,4.022259975,-4.384508111,2.495694271,-1.984978026,-1.772823398,-0.351523484,0.31421061,-1.387067054,3.231885788,-1.795570193,0.277424676,2.380006897,-1.346004325,3.86740095,2.873277345,-9.054497288,1.712475943,-1.307074718,2.440337792,-3.893945769,4.784493982,-4.788692958,-1.66093914,-0.26029201,2.869531362,1.121518853,1.23271153,-1.725686513
15,0.586138603,5.23822835,-2.964221177,-1.104782561,2.943499763,0.474386277,1.57210904,2.085150419,5.437267588,1.519865142,-1.947274856,-2.482275448,2.966402778,-2.416456288,7.200351476,-0.160003353,-4.763266568,-4.918024899,2.896088906,-2.34563073,1.189996489,-3.317622827,5.256180924,-1.578124655,0.292883459,-3.584506735,-2.501133757,0.347085767,-1.665710515,-1.434607376,1.935911586,-4.790635919,-4.111399737,-0.68751258,-1.998755083,3.27460636,4.830369919,-7.497716973,2.544144221,0.385502547,1.594950218,-4.797795457,2.368730589,-6.973993763,1.407856054,-3.282750102,2.417629489,1.936295102,0.743579949,-2.168683737
16,1.184104375,2.770552762,-2.005646968,-2.299519676,0.891936734,0.893369965,-0.778870658,3.954488603,4.683808577,-1.175764544,-0.237442129,-4.26581846,2.853951773,-0.073684994,3.360832531,1.291991246,-3.62364031,-3.674072733,2.691026658,-3.299296849,2.06075851,-1.765888031,0.163212314,0.184627015,-2.61209421,-2.340223008,-0.763727674,0.518469637,0.244304718,-1.621878959,1.680167484,0.675882975,-4.746230478,1.409823217,-2.045343403,2.175088298,2.245672438,-3.414008805,2.094198971,1.874056421,-0.832728457,-2.376077736,1.041051513,-2.159989691,3.037564722,-0.727294755,3.215022287,-0.024037936,0.180152727,-1.247970116
17,-2.421336274,4.30335016,-1.038629034,-0.589249355,-0.488685258,-1.098760853,-0.453395662,1.491675677,3.607448163,1.099816858,0.199443583,-1.036654717,2.560911251,-0.491314939,2.815540263,-0.564640579,-3.124641424,-2.998668254,2.570507987,-2.713502083,1.298915133,-2.453104998,2.488072072,0.077162983,-1.338257225,-3.789400021,-1.752559618,-1.552709539,-1.470360151,-2.454999251,3.822721334,0.505097148,-2.517894379,1.186814797,-1.826452077,1.076913481,2.489689325,-3.613563845,2.214816291,3.839595947,-0.862737363,-2.964453237,1.927494497,-5.465154021,2.752766203,-2.387880959,2.813450012,0.664758056,1.008884263,-0.288239049
18,0.189823052,3.709878011,-1.22436713,-0.525546287,-1.055293545,-0.000967005,0.93046969,1.217809724,3.383244535,1.376012666,1.19314962,-5.24434313,1.568654237,0.171631684,3.918909805,-0.430662723,-3.208535026,-1.954384501,-0.10111564,-1.499098319,2.186530957,-1.305789558,-0.176931842,1.175733482,-0.044579716,-2.156803681,0.354854255,-1.701039903,-0.859711251,-1.741431865,1.489649888,-0.223751805,-0.848974146,-0.021858869,-0.900014875,1.98836845,3.117486841,-3.634259216,2.845059482,1.700843941,1.450961109,-2.736467304,1.965123736,-4.510059845,0.767652926,-0.522130299,2.404886922,-0.064420097,0.982141726,-1.253023517
19,1.12238208,3.764500623,-0.92195872,-0.955548251,0.682254704,-0.730579677,1.708404258,3.18643286,5.048204809,-1.500341489,-1.482116663,-1.327392383,1.876054935,-0.812605036,4.757125028,0.116057334,-3.250060606,-2.142650291,3.454552414,-0.152771912,1.600297757,-1.59639272,3.250196349,-0.564327257,0.672345368,-0.358532973,-0.75201295,1.39737493,-2.534106669,-1.774157901,0.967209335,-1.77892025,-1.818378094,0.121444436,-0.693799988,2.112884396,2.644459063,-4.092858974,3.420710974,1.953282699,-1.748429219,-0.786653466,2.630816515,-2.197378399,2.168786858,-0.944869476,4.126783469,0.770073202,0.3257198,-0.754808496
20,1.996411311,1.424636914,-1.140069415,-2.333511464,0.137607805,-3.054687864,0.768393538,1.316400031,3.84051801,1.074553417,-0.793059248,-1.584784598,2.218235036,-0.67213781,3.820060081,-0.945023051,-2.791882077,-1.428553139,1.131509432,0.452517962,-2.761933004,-2.825575485,0.528257816,-0.962603352,-0.711771553,-2.815636836,-0.656025902,-0.828930751,-0.413476055,-0.098406032,1.049365516,-4.332970687,-0.927028885,0.032169509,-2.949021173,0.575523767,1.626133353,-4.420561695,3.675225212,-0.843269934,-0.610243902,-1.82903422,2.708180889,-1.93840365,-0.863558454,-1.179248793,2.631650798,-0.416325961,0.024927984,-1.993111258
21,-0.243703418,1.506533628,-0.6041481,-0.892225263,-1.239164593,2.092429878,-1.515985661,0.594838855,2.588645686,0.46774856,1.033522993,-0.481206302,-0.371207341,2.906480576,1.097249396,-0.791690676,-0.238029045,-1.980919202,0.563855243,-1.14341626,-1.745634901,-0.282568016,2.176998379,0.078242663,-0.281321702,0.055367238,-0.303385869,1.256316336,0.167818744,1.0684001,-0.700329127,0.808434361,-0.667289845,-1.218982352,1.464556511,-0.53728733,1.503658531,-0.262659145,-0.58222142,2.08050622,2.850684756,-3.355233735,2.312397754,-0.168649799,0.891063265,0.154792734,0.742577202,1.092281974,1.953459777,0.330568451
22,-1.552967378,-2.80912012,1.197536521,-0.950239769,0.225825604,-1.64007522,-0.663208653,-1.097510008,-1.947413394,-0.927338809,0.323056139,-1.182385652,1.739127882,-0.437304371,-1.512103278,-1.859493289,-1.842546183,0.180426499,1.034595513,-0.708225077,2.944840207,-0.972016131,-0.654148213,1.475337471,0.871802651,-0.224546559,0.661318357,1.01911477,-0.975012889,-0.018738268,-0.877873637,1.268023464,0.492888869,-1.367791775,0.301684099,-1.58596073,-1.127513317,0.634307105,1.287984236,-0.430532601,-2.058838755,-0.03185911,1.280759025,-0.841449997,2.304891186,-1.610707873,0.420971254,-0.772093569,-0.53376979,0.366284868
23,0.180885731,0.403508406,0.277993552,0.25681412,2.231199476,0.504622711,-0.633582369,1.226906272,1.071268653,0.559418242,0.409447124,-3.513767006,1.490167955,-0.031369357,-0.388291267,-0.740733361,-0.72431255,-1.015176234,1.374662232,-0.172665068,-3.930777662,-1.149018138,-0.563621661,-0.412233825,1.091715591,-0.748067317,-0.688566841,0.227498816,-0.965873795,-0.957360488,0.204729383,1.674140947,-0.321896981,-0.576289892,-0.509558872,0.733815416,0.38474887,-1.327721263,-0.256343179,0.216009304,0.414487807,-1.588937461,0.154201492,-0.9347161,-0.355676161,-0.307132145,-0.476166674,0.116774681,0.548625314,-1.564062362
24,-0.755626636,4.215969571,0.903206258,-1.013735301,-0.996937144,0.865147582,-1.749871633,3.102691352,1.950930862,0.273345704,-2.487973887,-0.838140912,2.133668798,-0.354502639,1.317775625,-0.830772512,-0.800606164,-0.136936372,0.676896481,-1.045076234,-1.091797054,1.383149475,0.339587551,-1.819606442,2.313640567,0.702443767,-2.084956321,2.904101151,0.487231667,0.514392214,1.756236405,1.290307968,2.127087529,0.290187611,-1.066612316,0.595573917,0.48482228,-0.629926116,1.184428843,-0.221204399,3.032309216,0.735429068,1.14933217,-0.05952786,-1.170431755,-0.259570453,0.257439931,1.590662183,0.069389124,-0.719157083
25,1.744996943,-0.968333734,-0.8639953,-1.488042254,3.83228937,0.274015201,-0.555508734,1.472195817,1.639772926,0.020562,-1.849824771,-3.598481952,-0.888749517,-1.003599951,2.640865925,-0.222883918,0.564645238,-0.716379868,-0.527966175,-0.711443179,-2.692706757,-0.007522727,1.100553141,-2.208763486,0.059999209,-0.220980837,-0.083384869,-0.521110308,0.936792891,-0.077441588,-0.513027923,-1.334426269,0.043000972,0.963656639,-0.169340164,-0.768664245,-0.09826055,-2.908790368,1.046648436,-1.88295564,3.355029743,0.861864585,2.316645158,0.105122111,-2.973201697,-1.60952156,-0.107929783,-0.177611047,0.567623218,-0.905720507
26,-0.28950526,-0.276239478,0.046725237,-1.539169235,2.581897045,0.819768662,0.286668774,1.276556493,1.34301947,-1.757038518,-1.297613744,0.093630332,-0.170745833,-0.10510428,0.319524113,1.057246635,0.033517554,-0.159500679,1.886230507,-0.353134758,-3.227287663,-0.546751508,0.877883737,0.178469169,2.6291993,0.61176758,-1.812356162,1.967904601,0.47097952,-0.159234875,0.847055536,-1.34946873,1.835178516,-0.242747015,1.947685969,1.396886036,0.252685002,-1.668050585,0.584005762,-2.064215276,0.493843977,0.734866288,0.273728775,2.585184849,0.046759113,0.003846983,-0.302584445,0.964458756,-1.822780989,-2.193020723
27,1.095346337,1.364551924,1.616971427,-0.401271765,0.95834364,-0.826519108,-0.439752967,0.827298052,-1.198948668,-0.219698119,-1.470865281,-1.46661876,0.970507953,-0.026669967,-1.530525158,-0.184334121,1.135626048,1.988354064,0.069126948,1.529045739,0.525159874,-0.96597684,-0.976143375,0.807289203,0.63940341,-0.136864287,-1.505526607,1.048414024,0.083723135,0.879395211,-1.008229993,0.441890435,1.155599519,-0.3326211,-1.805949605,0.479010834,0.42667468,-1.879540845,-0.147478471,-1.145539767,-1.860362756,1.073350587,1.430631643,0.089244976,-1.114577782,0.345344526,-0.108270664,0.772876662,-1.087069121,-0.946966749
28,0.924456344,-1.014516956,-1.779931959,-2.187290964,0.030091066,-0.706178766,-0.830309582,-1.260901677,1.030723554,-2.743556765,-1.696266105,1.842702664,0.030735511,0.673640724,0.51107858,0.318436905,0.309443994,0.40213798,-1.133648944,-0.34163308,-0.754681648,0.040196216,-0.04654952,-0.191738337,0.388336436,0.244153605,-1.428820286,0.596188438,0.493817504,1.088858891,-2.204588487,-0.119272538,-0.374848766,1.185406873,-0.789271325,-1.019481115,-0.604944213,1.180350332,0.437565529,-0.855635495,-0.278389667,-0.115057907,-0.636765596,0.19592713,-0.93700739,0.511076076,-1.113624504,0.850109042,-1.120525108,0.236386185
29,0.341436855,0.055502364,-0.092108649,-1.86301977,2.139799369,0.248736035,-1.130134831,1.298190915,1.590210224,-0.517235657,1.074836309,-2.817112052,0.093751959,0.721127246,-0.708466983,1.211760595,0.841822633,-1.689192106,-0.95728592,-0.380572782,-0.446619757,0.5374363,-0.850307824,-0.763595015,-0.388813818,1.998146691,1.14967623,0.886810835,-0.490799604,-0.497300986,-0.519278011,-1.213040552,0.779040789,-0.980407027,0.501692357,-0.7737894,-0.590393792,0.586608358,0.881032439,0.080813235,-1.933324836,-0.601065851,-0.215965046,-0.308775494,-0.567781729,0.322493758,0.020403678,0.555234165,0.152966093,0.217496314
30,1.247191503,2.893137093,-1.821301806,-0.101097776,-0.937138272,-1.390048112,1.266639487,0.817149299,2.593200687,-0.00985306,0.918442254,-1.096512781,0.964407661,-0.000678332,1.063059292,-0.550097692,-0.85544452,-0.231077926,-0.38258914,-0.616526199,3.585624887,-0.52498505,0.95901077,1.042012243,0.268664535,-0.420677856,0.040960717,-0.91970271,-1.381233106,-0.489082277,1.892516783,-2.246670576,-1.70684842,-2.07844019,0.94773237,0.903695828,1.059513252,0.54451287,1.606065998,2.168583112,-2.312815758,-3.993178234,0.523474754,-3.341923028,2.637775325,1.79962785,1.84076464,1.972790159,0.145180304,0.027011411
31,-0.597469253,3.86086221,0.200076194,1.688105674,-0.119242884,0.430820487,-1.36991464,0.399200088,1.981385248,-0.045755346,-0.666103276,-1.216420563,1.406706137,-0.828843404,1.588480274,-1.303810465,-1.249313849,-3.565353819,0.880225127,-2.317283619,1.392156699,-1.549165739,0.813185315,1.73255237,0.102460445,-1.905936477,0.372990858,-0.331241943,-2.615140215,0.448001166,0.621001799,-1.08335424,-0.43748813,-0.288183745,-0.410321952,0.498977957,1.687224554,-0.47815881,1.860011794,1.007605042,-1.163976648,-0.907582242,1.394151613,-2.063272818,3.678684406,0.411149054,3.228033963,-0.836225866,-0.231429661,0.753695541
32,-1.342104145,-0.054595334,-0.020147337,2.05072495,-2.473835767,0.992655361,0.665903831,0.311133968,0.376367106,3.027734977,0.178544139,0.381370809,0.155765977,-1.143047449,-0.419191926,-0.4017838,-0.648310813,-1.893449913,0.848152886,-0.653705371,0.505257379,-0.240122913,-2.849008984,1.412456734,-0.075351735,-1.111465369,-0.475927978,0.046553109,-0.442048407,-0.768054033,0.541207773,0.935914145,-2.009893562,1.703582444,0.676634783,2.474248026,1.647605717,-1.196258542,1.741528743,1.162250783,-2.639152965,0.251468175,1.583776759,-2.354777447,1.029608504,1.97964821,-0.048033697,0.071675775,2.214454201,-0.857520812
33,0.333677189,0.276791754,0.188806238,-0.991136655,0.088109619,-0.239613408,0.439297526,-0.283510046,2.017670853,0.646958356,-0.714338862,-0.252409927,2.742171753,-0.290924084,0.857499114,-0.415079284,-1.581972525,-0.663827585,1.212705402,-0.838810385,1.453686938,-1.901716766,0.161633177,1.398503808,0.989870469,-0.329033055,-1.455536676,0.615224309,0.184311522,-1.514055575,-0.654228351,-2.822189305,0.406603602,-0.266942407,-1.688060718,0.77967602,3.973175385,-0.245148115,1.322385468,0.562199757,0.008771892,-2.344626785,1.692232561,0.653191799,1.237716383,-0.080732771,1.845799731,1.660820361,-0.943583272,-1.209220767
34,0.423802532,-0.29194347,-1.362732953,2.809671336,-1.749413779,0.989437155,1.98121378,-2.694184711,1.999377366,1.60494613,1.988425353,-0.166483442,1.577445337,-0.001477993,3.904739385,-1.053926581,-3.151747234,-1.94364509,0.885806941,-0.5385221,0.678472988,-1.403907398,0.766498033,-0.835759618,-0.407443285,-1.386970082,-0.715983266,-0.135967104,-2.401378057,-0.210593033,0.564955661,-2.640496675,-0.516854332,-0.038907325,-0.374402485,1.9094507,1.639604078,-2.587348562,3.155219106,3.231013558,0.194499382,-1.277549187,3.015884227,-3.891724162,2.064044155,0.334227361,0.554929237,0.411944846,0.803640824,-0.058431556
35,-0.591935486,1.226355122,-1.528894595,0.662046435,-2.005809172,-1.266959996,-0.649559357,1.16586214,1.371892187,0.179782396,2.433092373,-2.112901868,2.392078608,0.087355813,2.420028102,0.454250448,-1.909937464,-2.599682261,1.989468535,-0.681302301,0.128227264,-1.945119016,-0.501989273,-0.633276969,-1.463837235,-2.439759339,0.41520908,-0.14484729,-2.817774128,-0.663397792,1.105028846,1.313429811,-3.140057708,0.992675168,-0.324264178,0.708153733,1.931149708,-1.303095377,0.967213441,4.695640438,1.283412927,-3.01147749,0.182127304,-3.334200363,2.084790332,0.902312129,1.876062199,0.946241836,0.927231201,-0.278691775
36,-2.781058763,1.133122307,-0.89236776,2.430713582,-2.583627487,-0.421846176,2.027747112,-3.106545069,-0.686107943,0.506415496,2.11141561,-3.702913031,0.591782776,-2.926529935,0.804449406,0.136530038,-2.805833731,-1.893693839,1.53098278,0.270857805,2.12296068,-1.825013885,-1.674507312,2.522620505,-0.754127479,-1.658024748,0.596276539,0.745005549,-3.295539673,-2.968615337,1.777557037,-1.573613294,-1.603617615,-0.889167143,2.839705128,2.729933935,3.89395244,-0.363581152,2.465967829,4.465418551,-4.385379972,-3.74202608,-1.249775886,-4.171057539,3.861678656,0.80253744,2.648875286,-0.489366628,0.147904746,-1.079428286
37,-2.176119098,1.013622069,-2.099553037,1.018379797,-1.02325339,-0.531386456,0.973729916,0.659289922,2.265313393,1.225909542,1.414177884,-2.540546063,0.423620038,-0.014041556,1.660250686,-0.951805009,-2.483648607,-3.363728773,1.446274164,-1.607754478,3.951984738,-2.357236034,-1.573572784,-1.250415164,-0.282792344,-2.694832751,1.112836975,-0.777335817,-4.006379631,-1.558833716,1.001578511,0.625360949,-1.957772522,-0.685491713,-0.089717489,-0.076664061,1.265548757,-1.56934521,2.964137778,4.814609787,-1.201524443,-2.216775104,1.649434781,-6.252767116,0.523381138,1.23044812,0.530235805,-1.019318409,0.850541064,-1.799572272
38,-1.872109284,0.765874883,1.077974008,1.147529949,-1.147710968,0.864164372,-0.031640356,-1.785257342,0.407078857,-0.089297822,0.245289125,-0.333961386,0.447853891,-0.132704997,1.507399068,-1.220394804,-0.833468559,-2.657285948,0.723913927,-1.271215037,3.655639494,0.141927412,0.228980718,0.119714965,-2.625799539,-3.066235515,-0.023662308,-1.894740523,-0.667252047,-0.020350136,2.316667054,0.305256634,-3.207231368,0.720165545,2.389745633,1.930821951,2.592399965,-1.281434281,1.750061876,1.272634637,-0.995733771,-0.600939831,1.52482174,-1.955437678,2.741095719,0.217126152,0.559176706,1.75506626,0.291805437,0.991178861
39,1.587921797,4.995718596,-1.610075961,-0.923676012,0.059300839,-1.637209268,1.00524471,2.635237464,4.936392926,0.654079149,-0.644021207,-3.961195109,1.989072647,0.80767038,5.043607327,-1.073759845,-2.80113354,-3.61550809,2.270554294,-1.772284468,-0.368696093,-2.70432285,0.67866122,-1.752731242,-1.816570354,-2.808865722,0.704120781,1.601642472,-2.497826187,-1.79047991,0.079098031,0.321568553,-3.050497957,0.737926226,-0.207894615,1.187919278,2.109493038,-3.350432177,3.799607095,0.559150524,-0.15017715,-1.658388557,1.908763525,-4.874111974,1.099289083,-1.991171258,5.547339041,0.540829557,1.434509186,-2.167703872
40,-1.051554748,3.577808663,1.032595136,2.233572877,-1.646258234,0.300839999,1.744651645,0.498061366,1.084162921,0.989676008,2.7664861,-2.000165922,0.661530751,-1.05059632,3.618204239,-0.079957169,-0.76319792,-3.543269573,2.804598231,-1.572119005,1.452658015,-1.637938047,1.322549543,0.615107388,-3.124466452,-2.885461236,-1.03654235,-1.956953277,-2.112648895,-0.032019457,3.443590171,-2.73824201,-3.786638817,1.327983947,1.220272224,2.913099255,4.202155741,-2.005248098,2.82775374,3.598796724,-1.723259942,-1.228493563,1.988218038,-4.097796132,2.035899747,0.429814765,3.572188947,2.05459767,0.899051607,-0.705961271
